epoc (ms),timestamp (-0800),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1642202918615,2022-01-14T15.28.38.615,6.426,0.211,-0.527,-0.815
1642202918696,2022-01-14T15.28.38.696,6.507,0.211,-0.527,-0.815
1642202918776,2022-01-14T15.28.38.776,6.587,0.211,-0.526,-0.815
1642202918857,2022-01-14T15.28.38.857,6.668,0.210,-0.526,-0.815
1642202918938,2022-01-14T15.28.38.938,6.749,0.211,-0.526,-0.815
1642202919017,2022-01-14T15.28.39.017,6.828,0.210,-0.526,-0.816
1642202919097,2022-01-14T15.28.39.097,6.908,0.211,-0.526,-0.816
1642202919178,2022-01-14T15.28.39.178,6.989,0.211,-0.526,-0.815
1642202919258,2022-01-14T15.28.39.258,7.069,0.212,-0.526,-0.815
1642202919339,2022-01-14T15.28.39.339,7.150,0.211,-0.526,-0.816
1642202919419,2022-01-14T15.28.39.419,7.230,0.211,-0.526,-0.816
1642202919499,2022-01-14T15.28.39.499,7.310,0.210,-0.526,-0.816
1642202919579,2022-01-14T15.28.39.579,7.390,0.211,-0.526,-0.816
1642202919660,2022-01-14T15.28.39.660,7.471,0.211,-0.526,-0.816
1642202919740,2022-01-14T15.28.39.740,7.551,0.211,-0.526,-0.815
1642202919821,2022-01-14T15.28.39.821,7.632,0.211,-0.526,-0.815
1642202919901,2022-01-14T15.28.39.901,7.712,0.212,-0.526,-0.815
1642202919980,2022-01-14T15.28.39.980,7.791,0.211,-0.526,-0.816
1642202920061,2022-01-14T15.28.40.061,7.872,0.211,-0.526,-0.815
1642202920142,2022-01-14T15.28.40.142,7.953,0.211,-0.526,-0.816
1642202920222,2022-01-14T15.28.40.222,8.033,0.211,-0.526,-0.816
1642202920303,2022-01-14T15.28.40.303,8.114,0.210,-0.526,-0.815
1642202920383,2022-01-14T15.28.40.383,8.194,0.211,-0.526,-0.815
1642202920462,2022-01-14T15.28.40.462,8.273,0.211,-0.526,-0.815
1642202920543,2022-01-14T15.28.40.543,8.354,0.211,-0.526,-0.815
1642202920624,2022-01-14T15.28.40.624,8.435,0.211,-0.526,-0.815
1642202920704,2022-01-14T15.28.40.704,8.515,0.211,-0.527,-0.816
1642202920785,2022-01-14T15.28.40.785,8.596,0.211,-0.525,-0.815
1642202920865,2022-01-14T15.28.40.865,8.676,0.211,-0.526,-0.815
1642202920944,2022-01-14T15.28.40.944,8.755,0.211,-0.527,-0.816
1642202921025,2022-01-14T15.28.41.025,8.836,0.211,-0.527,-0.816
1642202921105,2022-01-14T15.28.41.105,8.916,0.211,-0.526,-0.815
1642202921186,2022-01-14T15.28.41.186,8.997,0.212,-0.526,-0.816
1642202921267,2022-01-14T15.28.41.267,9.078,0.211,-0.526,-0.816
1642202921347,2022-01-14T15.28.41.347,9.158,0.211,-0.527,-0.816
1642202921426,2022-01-14T15.28.41.426,9.237,0.211,-0.527,-0.815
1642202921507,2022-01-14T15.28.41.507,9.318,0.211,-0.526,-0.815
1642202921587,2022-01-14T15.28.41.587,9.398,0.211,-0.526,-0.815
1642202921668,2022-01-14T15.28.41.668,9.479,0.211,-0.527,-0.816
1642202921749,2022-01-14T15.28.41.749,9.560,0.211,-0.526,-0.815
